Sample ID,Record type,Species,Sample type,Label,Collection ID,Collection date range,Collection protocols,Projects,Latitudes,Longitudes,Locations,Citations,Tag,Attractants,Usage license,Sex,Developmental stage,Available data types,Geolocation provenance,Geolocation precision
VBS0057606,Sample,Ixodes scapularis,individual,"NH_7_F",VBA0172605,"2012-10-27","catch of live specimens","VBP0000120","43.2","-71.5","Merrimack","","whole genome sequencing","no data","CC BY",female,"","Whole genome sequencing","provided","1 decimal place or better precision"
VBS0057607,Sample,Ixodes scapularis,individual,"NH_8_F",VBA0172602,"2012-10-27","catch of live specimens","VBP0000120","43.2","-71.5","Merrimack","","whole genome sequencing","no data","CC BY",female,"","Whole genome sequencing","provided","1 decimal place or better precision"
VBS0057608,Sample,Ixodes scapularis,individual,"NH_9_F",VBA0172642,"2012-10-27","catch of live specimens","VBP0000120","43.2","-71.5","Merrimack","","whole genome sequencing","no data","CC BY",female,"","Whole genome sequencing","provided","1 decimal place or better precision"
VBS0057609,Sample,Ixodes scapularis,individual,"WI_1_F",VBA0172632,"2012-11-07","catch of live specimens","VBP0000120","43.43","-89.94","Sauk","","whole genome sequencing","no data","CC BY",female,"","Whole genome sequencing","provided","2 decimal places or better precision"
VBS0057610,Sample,Ixodes scapularis,individual,"WI_10_F",VBA0172531,"2012-11-07","catch of live specimens","VBP0000120","43.43","-89.94","Sauk","","whole genome sequencing","no data","CC BY",female,"","Whole genome sequencing","provided","2 decimal places or better precision"
VBS0057611,Sample,Ixodes scapularis,individual,"WI_11_F",VBA0172584,"2012-11-07","catch of live specimens","VBP0000120","43.43","-89.94","Sauk","","whole genome sequencing","no data","CC BY",female,"","Whole genome sequencing","provided","2 decimal places or better precision"
VBS0057612,Sample,Ixodes scapularis,individual,"WI_12_F",VBA0172552,"2012-11-07","catch of live specimens","VBP0000120","43.43","-89.94","Sauk","","whole genome sequencing","no data","CC BY",female,"","Whole genome sequencing","provided","2 decimal places or better precision"
VBS0057613,Sample,Ixodes scapularis,individual,"WI_2_F",VBA0172629,"2012-11-07","catch of live specimens","VBP0000120","43.43","-89.94","Sauk","","whole genome sequencing","no data","CC BY",female,"","Whole genome sequencing","provided","2 decimal places or better precision"
VBS0057614,Sample,Ixodes scapularis,individual,"WI_3_F",VBA0172608,"2012-11-07","catch of live specimens","VBP0000120","43.43","-89.94","Sauk","","whole genome sequencing","no data","CC BY",female,"","Whole genome sequencing","provided","2 decimal places or better precision"
VBS0057615,Sample,Ixodes scapularis,individual,"WI_4_F",VBA0172561,"2012-11-07","catch of live specimens","VBP0000120","43.43","-89.94","Sauk","","whole genome sequencing","no data","CC BY",female,"","Whole genome sequencing","provided","2 decimal places or better precision"
VBS0057616,Sample,Ixodes scapularis,individual,"WI_5_F",VBA0172672,"2012-11-07","catch of live specimens","VBP0000120","43.43","-89.94","Sauk","","whole genome sequencing","no data","CC BY",female,"","Whole genome sequencing","provided","2 decimal places or better precision"
VBS0057617,Sample,Ixodes scapularis,individual,"WI_6_F",VBA0172461,"2012-11-07","catch of live specimens","VBP0000120","43.43","-89.94","Sauk","","whole genome sequencing","no data","CC BY",female,"","Whole genome sequencing","provided","2 decimal places or better precision"
VBS0057618,Sample,Ixodes scapularis,individual,"WI_7_F",VBA0172617,"2012-11-07","catch of live specimens","VBP0000120","43.43","-89.94","Sauk","","whole genome sequencing","no data","CC BY",female,"","Whole genome sequencing","provided","2 decimal places or better precision"
VBS0057619,Sample,Ixodes scapularis,individual,"WI_8_F",VBA0172593,"2012-11-07","catch of live specimens","VBP0000120","43.43","-89.94","Sauk","","whole genome sequencing","no data","CC BY",female,"","Whole genome sequencing","provided","2 decimal places or better precision"
VBS0057620,Sample,Ixodes scapularis,individual,"WI_9_F",VBA0172489,"2012-11-07","catch of live specimens","VBP0000120","43.43","-89.94","Sauk","","whole genome sequencing","no data","CC BY",female,"","Whole genome sequencing","provided","2 decimal places or better precision"
VBS0057631,Sample,Ixodes scapularis,individual,"VA_1_F",VBA0172596,"2008-03-06","catch of live specimens","VBP0000120","37.1587","-76.5749","Newport News","","whole genome sequencing","no data","CC BY",female,"","Whole genome sequencing","provided","4 decimal places or better precision"
VBS0057632,Sample,Ixodes scapularis,individual,"VA_2_F",VBA0172542,"2008-03-06","catch of live specimens","VBP0000120","37.1587","-76.5749","Newport News","","whole genome sequencing","no data","CC BY",female,"","Whole genome sequencing","provided","4 decimal places or better precision"
VBS0057633,Sample,Ixodes scapularis,individual,"VA_3_F",VBA0172663,"2008-03-06","catch of live specimens","VBP0000120","37.1587","-76.5749","Newport News","","whole genome sequencing","no data","CC BY",female,"","Whole genome sequencing","provided","4 decimal places or better precision"
VBS0057634,Sample,Ixodes scapularis,individual,"VA_4_F",VBA0172547,"2008-03-06","catch of live specimens","VBP0000120","37.1587","-76.5749","Newport News","","whole genome sequencing","no data","CC BY",female,"","Whole genome sequencing","provided","4 decimal places or better precision"
VBS0057635,Sample,Ixodes scapularis,individual,"VA_5_F",VBA0172504,"2008-03-06","catch of live specimens","VBP0000120","37.1587","-76.5749","Newport News","","whole genome sequencing","no data","CC BY",female,"","Whole genome sequencing","provided","4 decimal places or better precision"
VBS0057636,Sample,Ixodes scapularis,individual,"VA_6_F",VBA0172480,"2008-03-06","catch of live specimens","VBP0000120","37.1587","-76.5749","Newport News","","whole genome sequencing","no data","CC BY",female,"","Whole genome sequencing","provided","4 decimal places or better precision"
VBS0057637,Sample,Ixodes scapularis,individual,"FL_10_F",VBA0172587,"2013-01","catch of live specimens","VBP0000120","30.33","-81.65","Duval (Florida (United States))","","whole genome sequencing","no data","CC BY",female,"","Whole genome sequencing","provided","2 decimal places or better precision"
VBS0057638,Sample,Ixodes scapularis,individual,"FL_1_F",VBA0172599,"2013-01","catch of live specimens","VBP0000120","30.33","-81.65","Duval (Florida (United States))","","whole genome sequencing","no data","CC BY",female,"","Whole genome sequencing","provided","2 decimal places or better precision"
VBS0057639,Sample,Ixodes scapularis,individual,"FL_2_F",VBA0172539,"2013-01","catch of live specimens","VBP0000120","30.33","-81.65","Duval (Florida (United States))","","whole genome sequencing","no data","CC BY",female,"","Whole genome sequencing","provided","2 decimal places or better precision"
VBS0057640,Sample,Ixodes scapularis,individual,"FL_3_F",VBA0172657,"2013-01","catch of live specimens","VBP0000120","30.33","-81.65","Duval (Florida (United States))","","whole genome sequencing","no data","CC BY",female,"","Whole genome sequencing","provided","2 decimal places or better precision"
VBS0057641,Sample,Ixodes scapularis,individual,"FL_4_F",VBA0172507,"2013-01","catch of live specimens","VBP0000120","30.33","-81.65","Duval (Florida (United States))","","whole genome sequencing","no data","CC BY",female,"","Whole genome sequencing","provided","2 decimal places or better precision"
VBS0057642,Sample,Ixodes scapularis,individual,"FL_5_F",VBA0172678,"2013-01","catch of live specimens","VBP0000120","30.33","-81.65","Duval (Florida (United States))","","whole genome sequencing","no data","CC BY",female,"","Whole genome sequencing","provided","2 decimal places or better precision"
VBS0057643,Sample,Ixodes scapularis,individual,"FL_6_F",VBA0172573,"2013-01","catch of live specimens","VBP0000120","30.33","-81.65","Duval (Florida (United States))","","whole genome sequencing","no data","CC BY",female,"","Whole genome sequencing","provided","2 decimal places or better precision"
VBS0057644,Sample,Ixodes scapularis,individual,"FL_7_F",VBA0172525,"2013-01","catch of live specimens","VBP0000120","30.33","-81.65","Duval (Florida (United States))","","whole genome sequencing","no data","CC BY",female,"","Whole genome sequencing","provided","2 decimal places or better precision"
VBS0057645,Sample,Ixodes scapularis,individual,"FL_8_F",VBA0172522,"2013-01","catch of live specimens","VBP0000120","30.33","-81.65","Duval (Florida (United States))","","whole genome sequencing","no data","CC BY",female,"","Whole genome sequencing","provided","2 decimal places or better precision"
VBS0057646,Sample,Ixodes scapularis,individual,"FL_9_F",VBA0172558,"2013-01","catch of live specimens","VBP0000120","30.33","-81.65","Duval (Florida (United States))","","whole genome sequencing","no data","CC BY",female,"","Whole genome sequencing","provided","2 decimal places or better precision"
